"","date","observed_cumulative_cases","observed_active_cases","observed_cumulative_deaths","observed_new_cases","observed_daily_average_cases","observed_new_episodes","observed_new_cases_community_outbreak","observed_new_cases_institution_outbreak","observed_new_cases_sporadic","observed_new_ICU_p_acute_care","observed_census_ICU","observed_census_ICU_p_acute_care","observed_census_acute_care","observed_new_deaths","cumulative_hosp","observed_new_community_cases","num_non_ltch_tests","non_ltch_pct_positivity","num_ltch_tests","ltch_pct_positivity","observed_pct_positivity","pct_positivity_7_day","adjusted_new_episodes","adjusted_active_cases","adjusted_episode_cases"
"347",2021-02-10,13983,602,421,40,46.3,57,0,6,50,3,4,20,16,1,735,50,2791,0.0125399994850159,100,0,1.21062395581734,1.53534249654029,56.862648605094,612.386289205332,57
"348",2021-02-11,14043,628,422,51,46.3,60,1,11,46,1,3,16,13,1,736,47,2563,0.0152199995517731,58,0,1.48831968146488,1.57090793492707,58.9968934428576,641.320193236481,60
"349",2021-02-12,14094,630,424,52,43.4,51,1,7,41,3,2,16,14,2,739,42,2612,0.0157000005245209,173,0,1.47247401687787,1.56560070716595,49.8813564497037,643.220346745555,51
"350",2021-02-13,14126,628,424,46,41.3,32,0,3,28,6,2,21,19,0,745,28,2099,0.0219199991226196,46,0.0217400002479553,2.19161390068925,1.67336984379644,31.8745340719054,647.61454989845,32
"351",2021-02-14,14167,603,426,48,43.4,41,0,4,35,4,2,21,19,2,749,35,1175,0.0170200002193451,10,0,1.6876371525511,1.58347185333275,39.8417861549742,617.502772898556,41
"352",2021-02-15,14229,626,427,34,44.9,62,2,8,51,4,2,23,21,1,753,53,867,0.0265300011634827,26,0,2.57575711184093,1.75691534644644,62.9455188087501,648.979146684482,62
"353",2021-02-16,14280,621,427,60,47.3,51,3,13,32,3,2,24,22,0,756,35,1561,0.0333100008964539,23,0,3.28263329541443,1.98700844495083,49.6373633726658,650.051504412157,51
"354",2021-02-17,14337,637,427,49,48.6,57,5,6,44,2,2,25,23,0,758,49,2063,0.0184200000762939,222,0,1.66303983183345,2.0516392843817,56.1613239640337,652.097211532439,57
"355",2021-02-18,14409,652,427,68,51,72,3,12,53,3,3,26,23,0,761,56,2348,0.0212899994850159,116,0,2.02877105482213,2.12884662343274,69.6191076457212,670.85103901804,72
"356",2021-02-19,14463,656,428,58,51.9,54,3,15,33,1,3,26,23,1,762,36,2576,0.0151400005817413,96,0,1.4596048465032,2.12700817052207,51.7488458961326,669.645636329527,54
"357",2021-02-20,14512,635,428,66,54.7,49,0,3,45,4,3,26,23,0,766,45,2384,0.0255900001525879,68,0,2.48803264126303,2.16935370488975,49.5955971211295,657.515648264828,49
"358",2021-02-21,14554,625,428,53,55.4,42,0,7,33,2,4,24,20,0,768,33,1000,0.03,28,0,2.91828793774319,2.34516095991719,41.37245064778,650.993383480683,42
"359",2021-02-22,14619,640,428,32,55.1,65,0,11,54,1,6,23,17,0,769,54,863,0.0150600004196167,66,0,1.39900757396439,2.17705388307769,66.0766349703464,652.760118167069,65
"360",2021-02-23,14674,646,428,47,53.3,55,0,7,47,4,6,26,20,0,773,47,2036,0.019650000333786,84,0,1.88714154149001,1.97769791823134,55.2640288587758,663.373673250408,55
"361",2021-02-24,14720,653,429,60,54.9,46,2,10,34,1,6,24,18,1,774,36,2874,0.0187899994850159,41,0,1.85257147581255,2.00477386737122,46.9504562486745,670.240220288456,46
"362",2021-02-25,14753,649,429,43,51.3,33,1,5,25,1,6,23,17,0,775,26,2376,0.0185199999809265,128,0.00781000018119812,1.79725239528254,1.97169977315127,31.6659430266996,665.622962474155,33
"363",2021-02-26,14818,652,429,57,51.1,65,5,12,43,1,6,21,15,0,776,48,2639,0.0181900000572205,181,0,1.70224858691507,2.00636316463868,61.1644447208322,667.817040791305,65
"364",2021-02-27,14864,657,430,71,51.9,46,0,4,34,3,6,23,17,1,779,34,2535,0.0209100008010864,47,0.0212800002098083,2.09167358794016,1.94974044273542,39.0135087118581,676.584565402671,46
"365",2021-02-28,14929,668,430,49,51.3,65,2,8,54,7,6,28,22,0,786,56,1552,0.0257699990272522,94,0,2.42983222905804,1.87996105578039,65.9391837884007,691.131692333066,65
"366",2021-03-01,15006,682,430,54,54.4,77,4,7,64,3,6,29,23,0,789,68,996,0.0291199994087219,45,0,2.78612098089212,2.07812011391293,77.6999986065758,709.079397789481,77
